date,firm_total_usd,USD,ETH,EUR,client:CoW DAO,client:Balancer DAO,client:ENS,client:Nexus Mutual,USD_dep,USD_apy,USD_bench,ETH_dep,ETH_apy,ETH_bench
2026-01-05,142221817.59,59450299.84,78202220.69,1375523.66,14553154.05,8673752.39,115936419.76,3058491.39,,,,,,
2026-01-12,137376103.09,58683125.99,74116573.11,1374582.18,12554522.28,8665560.74,113119042.74,3036977.33,,,,,,
2026-01-19,139585695.46,58753612.79,76284959.53,1370237.0,12603136.74,8722431.45,115447462.49,2812664.77,,,,,,
2026-01-26,16067364.32,13393783.53,1274989.5,1398591.3,16067364.32,0.0,0.0,0.0,,,,,,
2026-02-02,109268446.68,53000454.89,53769269.84,0.0,0.0,7661594.58,99726661.63,1880190.47,,,,,,
2026-02-09,115730040.65,64173400.58,48015412.58,1403878.17,16323278.15,7188488.91,90415074.26,1803199.32,,,,,,
2026-02-16,113683029.45,61261703.66,48569428.07,1399858.34,16290504.11,6662120.54,88934647.91,1795756.89,,,,,,
2026-02-23,111882795.29,59369585.03,48816742.79,1391869.02,16259736.03,5797484.42,88026664.46,1798910.39,,,,,,
2026-03-02,111809532.37,58901287.38,50688166.28,0.0,14883133.8,6626109.79,88497884.66,1802404.12,,,,,,
2026-03-09,114023365.22,59003820.6,52935067.04,0.0,16206725.38,6239242.34,89752717.9,1824679.6,,,,,,
2026-03-16,121535256.57,59092112.06,60087915.74,0.0,16467395.63,6609911.4,96563240.66,1894708.89,,,,,,
2026-03-23,113585860.98,54220494.26,57230591.55,0.0,16400931.87,6621895.82,88698614.33,1864418.95,,,,,,
2026-03-30,115623724.66,59251495.33,54431292.07,0.0,16335977.81,6391903.94,91058822.48,1837020.43,,,,,,
2026-04-06,114864795.31,56561537.69,56421956.65,0.0,13672918.32,6367115.43,92948214.29,1876547.26,,,,,,
2026-04-13,117513685.89,57286925.19,58391978.02,0.0,13733652.73,6354501.29,94826355.4,2599176.47,,,,,,
2026-04-20,83590768.46,26822771.68,55021365.02,0.0,2232866.69,4373734.29,75674977.94,1309189.53,,,,,,
2026-04-27,86079074.23,27235773.79,56972521.1,0.0,4757128.54,2898690.53,77110448.49,1312806.67,,,,,,
2026-05-04,107225364.26,38350519.77,64494649.68,2579847.81,7363065.85,2840042.37,95361561.57,1660694.47,,,,,,
2026-05-11,108365572.56,40380946.66,63448956.75,2590658.46,9327245.88,2975430.61,94406713.89,1656182.18,,,,,,
2026-05-18,105958998.08,42764835.83,58913809.34,2559495.87,9130742.12,5022207.38,90199024.72,1607023.87,,,,,,
2026-05-25,105782937.98,44030433.61,57507893.56,2563437.1,9126866.94,4978686.03,90072836.18,1604548.83,,,,,,
2026-06-01,102238099.1,44603326.9,53530387.92,2557834.94,9494595.49,4822175.65,86355054.41,1566273.56,,,,,,
2026-06-08,94127086.62,43566752.44,46782407.06,2536559.22,9220863.92,4391959.82,79023310.38,1490952.5,,,,,,
2026-06-15,116585659.66,62133456.64,49540551.42,3193226.64,25569376.65,7035936.77,81147687.5,2832658.74,,,,,,
2026-06-22,102346705.73,48985907.6,49349042.61,2524049.4,14400249.42,4687784.85,81491144.13,1767527.33,,,,,,
2026-06-24,106179867.6,52814092.17,47220257.17,3132699.39,26252863.99,6275302.68,71326034.65,2325666.28,,,,,,
2026-06-29,61332276.8,28712587.25,32619689.54,0.0,0.0,0.0,59231605.96,2100670.84,,,,,,
2026-06-30,104020388.67,52842244.34,44705644.83,3139366.53,26221056.94,6523728.93,68988072.06,2287530.74,,,,,,
2026-07-06,97538806.14,52892306.94,38161097.66,3153570.25,25398600.6,6647403.87,63349963.12,2142838.55,51719110.38,4.7558,3.61,38155899.28,2.3846,2.16
